Estados,yogod,(,),{,},id,=,yoint,yofloat,yochar,yobool,int,float,char,TRUE,FALSE,scanfi,printfi,string,eoq,trab,holy,fon,;,circo,soled,:,break,!,==,!=,>,>=,<,<=,+,-,/,*,&&,||,++,--,solado,$,S',YOGOD,EXPR,ATR,TIPO,VALOR,INOUT,INPUT,OUTPUT,OUTPUTVALUE,DE,CASO,STMT,OP,OPARITMETICO,OPLOGICO,OPRELACIONAL,TEMP,OPRELACIONAL1,OPARITMETICO1,OPARITMETICO2,OPLOGICO1,OPLOGICO2,UNARIO,END
0,E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,
2,,E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,E24,,,,E23,,E12,E13,E14,E15,E32,E33,E34,E35,E36,E29,E30,,E16,,E17,E18,,E19,,,,E28,,,,,,,,,,,,,,,,,,,6,11,7,31,10,25,26,,8,,,9,20,21,22,27,,,,,,,
6,,,,,E37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,E38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,R3,,,,,,,,,,,,,,,,,,,,,,,R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,R4,,,,,,,,,,,,,,,,,,,,,,,R4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,R5,,,,,,,,,,,,,,,,,,,,,,,R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,R6,,,,,,,,,,,,,,,,,,,,,,,R6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,R9,,,R9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,R10,,,R10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,R11,,,R11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,R12,,,R12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,E39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,E40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,E41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,E42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,R41,R41,,R41,R41,,R41,R41,R41,R41,R41,R41,R41,R41,R41,R41,R41,,R41,,R41,R41,,R41,,,R41,R41,,,,,,,,,,,,,,,R41,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,R42,R42,,R42,R42,,R42,R42,R42,R42,R42,R42,R42,R42,R42,R42,R42,,R42,,R42,R42,,R42,,,R42,R42,,,,,,,,,,,,,,,R42,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,R43,R43,,R43,R43,,R43,R43,R43,R43,R43,R43,R43,R43,R43,R43,R43,,R43,,R43,R43,,R43,,,R43,R43,,,,,,,,,,,,,,,R43,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,R44,R44,,R44,R44,E43,R44,R44,R44,R44,R44,R44,R44,R44,R44,R44,R44,,R44,,R44,R44,,R44,,,R44,R44,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,,,R44,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,E24,,,,E45,,,,,,E32,E33,E34,E35,E36,,,,,,,,,,,,,E28,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,44,20,21,22,27,,,,,,,
25,,,,,R18,,,,,,,,,,,,,,,,,,,,,,,R18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,R19,,,,,,,,,,,,,,,,,,,,,,,R19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E57,E58,E59,E60,E61,E62,E53,E54,E51,E52,E56,E55,,,,,,,,,,,,,,,,,,,,,,,50,47,46,49,48,,
28,,E24,,,,E45,,,,,,E32,E33,E34,E35,E36,,,,,,,,,,,,,E28,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,63,20,21,22,27,,,,,,,
29,,E64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,E65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R54,R54,R54,R54,R54,R54,R54,R54,R54,R54,R54,R54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,R13,R13,,R13,R13,,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,,R13,,R13,R13,R13,R13,,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,R13,,,R13,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,R14,R14,,R14,R14,,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,,R14,,R14,R14,R14,R14,,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,R14,,,R14,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,R15,R15,,R15,R15,,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,,R15,,R15,R15,R15,R15,,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,R15,,,R15,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,R16,R16,,R16,R16,,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,,R16,,R16,R16,R16,R16,,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,R16,,,R16,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,R17,R17,,R17,R17,,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,,R17,,R17,R17,R17,R17,,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,R17,,,R17,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R1,,,,,,,,,,,,,,,,,,,,,,,,,
38,,E24,,,,E23,,E12,E13,E14,E15,E32,E33,E34,E35,E36,E29,E30,,E16,,E17,E18,,E19,,,,E28,,,,,,,,,,,,,,,,,,,66,11,7,31,10,25,26,,8,,,9,20,21,22,27,,,,,,,
39,,E24,,,,E45,,,,,,E32,E33,E34,E35,E36,,,,,,,,,,,,,E28,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,67,69,20,21,22,27,,,,,,,
40,,E24,,,,E45,,,,,,E32,E33,E34,E35,E36,,,,,,,,,,,,,E28,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,70,69,20,21,22,27,,,,,,,
41,,,,,,E71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,E72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,E24,,,,E45,,,,,,E32,E33,E34,E35,E36,,,,,,,,,,,,,E28,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,73,69,20,21,22,27,,,,,,,
44,,,E74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,R44,R44,,R44,R44,,R44,R44,R44,R44,R44,R44,R44,R44,R44,R44,R44,,R44,,R44,R44,,R44,,,R44,R44,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,R53,,,R44,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,E24,,,,E45,,,,,,E32,E33,E34,E35,E36,,,,,,,,,,,,,E28,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,75,69,20,21,22,27,,,,,,,
47,,E24,,,,E45,,,,,,E32,E33,E34,E35,E36,,,,,,,,,,,,,E28,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,76,69,20,21,22,27,,,,,,,
48,,E24,,,,E45,,,,,,E32,E33,E34,E35,E36,,,,,,,,,,,,,E28,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,77,69,20,21,22,27,,,,,,,
49,,E24,,,,E45,,,,,,E32,E33,E34,E35,E36,,,,,,,,,,,,,E28,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,78,69,20,21,22,27,,,,,,,
50,,E24,,,,E45,,,,,,E32,E33,E34,E35,E36,,,,,,,,,,,,,E28,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,79,69,20,21,22,27,,,,,,,
51,,R63,,,,R63,,,,,,R63,R63,R63,R63,R63,,,,,,,,,,,,,R63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,R64,,,,R64,,,,,,R64,R64,R64,R64,R64,,,,,,,,,,,,,R64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,R61,,,,R61,,,,,,R61,R61,R61,R61,R61,,,,,,,,,,,,,R61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,R62,,,,R62,,,,,,R62,R62,R62,R62,R62,,,,,,,,,,,,,R62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,R66,,,,R66,,,,,,R66,R66,R66,R66,R66,,,,,,,,,,,,,R66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,R65,,,,R65,,,,,,R65,R65,R65,R65,R65,,,,,,,,,,,,,R65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,R55,,,,R55,,,,,,R55,R55,R55,R55,R55,,,,,,,,,,,,,R55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,R56,,,,R56,,,,,,R56,R56,R56,R56,R56,,,,,,,,,,,,,R56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,R57,,,,R57,,,,,,R57,R57,R57,R57,R57,,,,,,,,,,,,,R57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,R58,,,,R58,,,,,,R58,R58,R58,R58,R58,,,,,,,,,,,,,R58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,R59,,,,R59,,,,,,R59,R59,R59,R59,R59,,,,,,,,,,,,,R59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,R60,,,,R60,,,,,,R60,R60,R60,R60,R60,,,,,,,,,,,,,R60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,R50,R50,,R50,R50,,R50,R50,R50,R50,R50,R50,R50,R50,R50,R50,R50,,R50,,R50,R50,,R50,,,R50,R50,,,,,,,,,,,,,,,R50,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,E80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,E82,,E12,E13,E14,E15,,,,,,,,E83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,81,,,,,,,,,,,,,,,
66,,,,,R2,,,,,,,,,,,,,,,,,,,,,,,R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,E85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,R39,R39,,R39,R39,,R39,R39,R39,R39,R39,R39,R39,R39,R39,R39,R39,,R39,,R39,R39,,R39,,,R39,R39,R54,R54,R54,R54,R54,R54,R54,R54,R54,R54,R54,R54,,,R39,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,R40,R40,,R40,R40,,R40,R40,R40,R40,R40,R40,R40,R40,R40,R40,R40,,R40,,R40,R40,,R40,,,R40,R40,,,,,,,,,,,,,,,R40,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,E86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,E87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,E88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,E24,,,R8,E23,,E12,E13,E14,E15,E32,E33,E34,E35,E36,E29,E30,,E16,,E17,E18,,E19,,,R8,E28,,,,,,,,,,,,,,,E91,,,,90,11,7,31,10,25,26,,8,,,9,20,21,22,27,,,,,,,89
74,,R45,R45,,R45,R45,,R45,R45,R45,R45,R45,R45,R45,R45,R45,R45,R45,,R45,,R45,R45,,R45,,,R45,R45,,,,,,,,,,,,,,,R45,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,R46,R46,,R46,R46,,R46,R46,R46,R46,R46,R46,R46,R46,R46,R46,R46,,R46,,R46,R46,,R46,,,R46,R46,,,,,,,,,,,,,,,R46,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,R47,R47,,R47,R47,,R47,R47,R47,R47,R47,R47,R47,R47,R47,R47,R47,,R47,,R47,R47,,R47,,,R47,R47,,,,,,,,,,,,,,,R47,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,R48,R48,,R48,R48,,R48,R48,R48,R48,R48,R48,R48,R48,R48,R48,R48,,R48,,R48,R48,,R48,,,R48,R48,,,,,,,,,,,,,,,R48,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,R49,R49,,R49,R49,,R49,R49,R49,R49,R49,R49,R49,R49,R49,R49,R49,,R49,,R49,R49,,R49,,,R49,R49,,,,,,,,,,,,,,,R49,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,R51,R51,,R51,R51,,R51,R51,R51,R51,R51,R51,R51,R51,R51,R51,R51,,R51,,R51,R51,,R51,,,R51,R51,,,,,,,,,,,,,,,R51,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,E92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,E93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,R22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,R23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,R24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,E94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,E95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,E32,E33,E34,E35,E36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,
88,,,,E97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,R7,,,,,,,,,,,,,,,,,,,,,,,R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,R69,,,,,,,,,,,,,,,,,,,,,,,R69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,R70,,,,,,,,,,,,,,,,,,,,,,,R70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,R20,,,,,,,,,,,,,,,,,,,,,,,R20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,R21,,,,,,,,,,,,,,,,,,,,,,,R21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,E24,,,,E23,,E12,E13,E14,E15,E32,E33,E34,E35,E36,E29,E30,,E16,,E17,E18,,E19,,,,E28,,,,,,,,,,,,,,,,,,,98,11,7,31,10,25,26,,8,,,9,20,21,22,27,,,,,,,
95,,E24,,,,E23,,E12,E13,E14,E15,E32,E33,E34,E35,E36,E29,E30,,E16,,E17,E18,,E19,,,,E28,,,,,,,,,,,,,,,,,,,99,11,7,31,10,25,26,,8,,,9,20,21,22,27,,,,,,,
